Name,Kategorie,Unterkategorie,Menge,Status,Geschmack,Nutzung,Beschreibung
Aperol,Aperitif / Bitter,Aperitif,1 Flasche,Unbekannt,"Bitter, Fruchtig, Zitrisch, Süß, Kräuterig","Aperitif, Spritz, Modifier","Leuchtend orangefarbener italienischer Aperitif mit milder Bitterkeit, Orange, Kräutern, Rhabarber, Chinarinde und Enzian. Aperol wirkt leichter und zugänglicher als klassische Bitter und ist ideal für Spritz, Aperitif-Drinks und frische Sommerdrinks."
Averna,Aperitif / Bitter,Amaro,1 Flasche,Ungeöffnet,"Süß, Kräuterig, Bitter, Zitrisch","Digestif, Modifier","Sizilianischer Amaro mit weicher Süße, Kräutern, Gewürzen, mediterranen Aromen und feiner Zitrusnote. Averna ist vollmundig, harmonisch und eignet sich pur auf Eis ebenso wie als dunkler, runder Amaro-Akzent in Cocktails."
Campari,Aperitif / Bitter,Bitter Aperitif,1 Flasche,Ungeöffnet,"Bitter, Kräuterig, Zitrisch, Fruchtig","Spritz, Aperitif, Modifier","Ikonischer roter Bitter-Aperitif aus Italien mit markanter Bitterkeit, Kräutern, Gewürzen und Orangennoten. Campari bringt Struktur, Farbe und Tiefe in Klassiker wie Negroni, Americano, Boulevardier und Campari Spritz."
Aperitivo Bavarese,Aperitif / Bitter,Aperitif,1 Flasche,Unbekannt,"Bitter, Zitrisch, Fruchtig, Kräuterig, Floral","Aperitif, Spritz, Modifier","Bayerischer Aperitivo mit frischer Zitrusnote, Wacholder, Kräutern und floralen Akzenten. Er funktioniert als moderne, grüne Alternative für Spritz-Drinks, Hugo-Varianten und leichte Aperitif-Serves."
Cynar,Aperitif / Bitter,Amaro / Bitter,1 Flasche,Geöffnet,"Bitter, Kräuterig, Süß","Aperitif, Digestif, Spritz, Modifier","Italienischer Amaro auf Basis von Artischocke und weiteren Botanicals. Cynar schmeckt nicht dominant nach Artischocke, sondern bittersüß, kräutrig, leicht vegetal und bringt Tiefe in Spritzes, Amaro-Drinks und dunkle Cocktail-Twists."
Ramazzotti,Aperitif / Bitter,Amaro,1 Flasche,Unbekannt,"Kräuterig, Süß, Bitter, Zitrisch","Digestif, Modifier","Klassischer italienischer Amaro mit 33 Kräutern, Gewürzen, Blüten und Früchten. Ramazzotti verbindet Orange, Kräuterwürze und bittersüße Tiefe zu einem zugänglichen Digestif und vielseitigen Amaro-Modifier."
Avionic Lufthansa Aperitif,Aperitif / Bitter,Aperitif,1 Flasche,Ungeöffnet,"Fruchtig, Zitrisch, Floral, Kräuterig, Süß, Bitter","Aperitif, Spritz","Moderner deutscher Aperitif von Ziegler mit Pfirsich, frischer Zitrusnote, floralen Wildwiesenkräutern und feiner Bitternote. Avionic ist frisch, duftig und besonders stark in Tonic- und Spritz-Serves."
Celery Bitters,Bitters,Bitters,1 Flasche,Ungeöffnet,"Bitter, Zitrisch",Modifier,"Würzig-vegetale Cocktail Bitters mit Sellerie, Zitronengras, Ingwer, Koriander und einer feinen herben Tiefe. Sie setzen in klaren Drinks, Martinis, Bloody Marys und Highballs einen eleganten, trockenen Savory-Akzent."
Creole Bitters,Bitters,Bitters,1 Flasche,Ungeöffnet,"Bitter, Fruchtig, Süß",Modifier,"Creole Bitters mit Cayenne, rosa Pfeffer, Anis, Zimt, Kümmel, Fenchel und dunkler Frucht. Sie geben klassischen Stirred Drinks eine würzige, warme und leicht fruchtige Tiefe."
Peach Bitters,Bitters,Fruit Bitters,3 Flaschen,Unbekannt,"Bitter, Fruchtig, Süß",Modifier,"Fruchtige Cocktail Bitters mit Pfirsich- und Steinfruchtcharakter. Sie eignen sich als feiner Akzent für Sours, Spritzes, Champagner-Drinks und helle Spirituosen, wenn ein dezenter Fruchtbogen gewünscht ist."
