id,name,producer,category,subcategory,amount,status,fillLevel,origin,flavorTags,usageTags,styleTags,guestTags,originTags,descriptionShort,descriptionLong,tastingNotes,bestUse,serving,notes
csv-001-aperol,Aperol,Aperol,Aperitif / Bitter,Aperitif,1 Flasche,Unbekannt,100%,,Bitter | Fruchtig | Zitrisch | Süß | Kräuterig,Aperitif | Spritz | Modifier,Aperitif | Bitter Aperitif | Leicht | Sommerlich,,Italien | Padua,"Leuchtend orangefarbener italienischer Aperitif mit milder Bitterkeit, Orange, Kräutern, Rhabarber, Chinarinde und Enzian. Aperol wirkt leichter und zugänglicher als klassische Bitter und ist ideal für Spritz, Aperitif-Drinks und frische Sommerdrinks.",,Orange | Rhabarber | Enzian | Kräuter | sanfte Bitterkeit,Aperol Spritz | Aperol Sour | leichte Aperitif-Drinks,"Gut gekühlt mit Prosecco, Soda und Orangenscheibe als Aperol Spritz servieren; alternativ in leichten Sours oder als milder Bitter-Akzent.",
csv-002-averna,Averna,Averna,Aperitif / Bitter,Amaro,1 Flasche,Ungeöffnet,100%,,Süß | Kräuterig | Bitter | Zitrisch,Digestif | Modifier,Amaro | Digestif | Rund | Kräftig,,Italien | Sizilien,"Sizilianischer Amaro mit weicher Süße, Kräutern, Gewürzen, mediterranen Aromen und feiner Zitrusnote. Averna ist vollmundig, harmonisch und eignet sich pur auf Eis ebenso wie als dunkler, runder Amaro-Akzent in Cocktails.",,Kräuter | Gewürze | Zitrus | Karamell | milde Bitterkeit,Pur auf Eis | Amaro Sour | Black Manhattan Varianten,"Pur, leicht gekühlt oder auf Eis servieren; in Cocktails sparsam als runder, bittersüßer Modifier einsetzen.",
csv-003-campari,Campari,Campari,Aperitif / Bitter,Bitter Aperitif,1 Flasche,Ungeöffnet,100%,,Bitter | Kräuterig | Zitrisch | Fruchtig,Spritz | Aperitif | Modifier,Bitter Aperitif | Klassisch | Kräftig | Spirit-Forward,,Italien | Mailand,"Ikonischer roter Bitter-Aperitif aus Italien mit markanter Bitterkeit, Kräutern, Gewürzen und Orangennoten. Campari bringt Struktur, Farbe und Tiefe in Klassiker wie Negroni, Americano, Boulevardier und Campari Spritz.",,Bitterorange | Kräuter | Gewürze | rote Früchte | kräftige Bitterkeit,Negroni | Americano | Boulevardier | Campari Spritz,"Für klassische Aperitif-Drinks auf Eis verwenden; im Negroni zu gleichen Teilen mit Gin und rotem Vermouth kombinieren.",
csv-004-aperitivo-bavarese,Aperitivo Bavarese,Lantenhammer / Chilla,Aperitif / Bitter,Aperitif,1 Flasche,Unbekannt,100%,,Bitter | Zitrisch | Fruchtig | Kräuterig | Floral,Aperitif | Spritz | Modifier,Aperitif | Bitter Aperitif | Modern | Sommerlich,,Deutschland | Bayern,"Bayerischer Aperitivo mit frischer Zitrusnote, Wacholder, Kräutern und floralen Akzenten. Er funktioniert als moderne, grüne Alternative für Spritz-Drinks, Hugo-Varianten und leichte Aperitif-Serves.",,Zitrus | Wacholder | Kräuter | florale Noten | sanfte Bitterkeit,Spritz | Hugo-Twist | leichte Aperitif-Drinks,"Gut gekühlt auf Eis mit Prosecco oder Soda servieren; eine Zitruszeste oder frische Kräuter passen besonders gut.",
csv-005-cynar,Cynar,Cynar,Aperitif / Bitter,Amaro / Bitter,1 Flasche,Geöffnet,100%,,Bitter | Kräuterig | Süß,Aperitif | Digestif | Spritz | Modifier,Amaro | Bitter Aperitif | Komplex | Herb,,Italien,"Italienischer Amaro auf Basis von Artischocke und weiteren Botanicals. Cynar schmeckt nicht dominant nach Artischocke, sondern bittersüß, kräutrig, leicht vegetal und bringt Tiefe in Spritzes, Amaro-Drinks und dunkle Cocktail-Twists.",,Kräuter | Artischocke | erdige Bitterkeit | milde Süße | vegetale Tiefe,Cynar Spritz | Amaro Highball | Bitter-Modifier,"Auf Eis mit Soda oder Tonic als Aperitif servieren; in Cocktails als komplexer, erdiger Bitter-Akzent einsetzen.",
csv-006-ramazzotti,Ramazzotti,Ramazzotti,Aperitif / Bitter,Amaro,1 Flasche,Unbekannt,100%,,Kräuterig | Süß | Bitter | Zitrisch,Digestif | Modifier,Amaro | Digestif | Rund | Würzig,,Italien | Mailand,"Klassischer italienischer Amaro mit 33 Kräutern, Gewürzen, Blüten und Früchten. Ramazzotti verbindet Orange, Kräuterwürze und bittersüße Tiefe zu einem zugänglichen Digestif und vielseitigen Amaro-Modifier.",,Orange | Kräuter | Gewürze | Sternanis | milde Bitterkeit,Pur auf Eis | Amaro & Tonic | dunkle Cocktail-Twists,"Pur, auf Eis oder mit Zitruszeste servieren; in Cocktails als runder, würziger Amaro-Baustein nutzen.",
csv-007-avionic-lufthansa-aperitif,Avionic Lufthansa Aperitif,Brennerei Ziegler,Aperitif / Bitter,Aperitif,1 Flasche,Ungeöffnet,100%,,Fruchtig | Zitrisch | Floral | Kräuterig | Süß | Bitter,Aperitif | Spritz,Aperitif | Modern | Fruchtig-Floral | Sommerlich,,Deutschland,"Moderner deutscher Aperitif von Ziegler mit Pfirsich, frischer Zitrusnote, floralen Wildwiesenkräutern und feiner Bitternote. Avionic ist frisch, duftig und besonders stark in Tonic- und Spritz-Serves.",,Pfirsich | Zitrus | Wildwiesenkräuter | Ringelblume | feine Bitterkeit,Avionic & Tonic | Avionic Spritz | leichte Aperitif-Highballs,"Auf Eis im Verhältnis 1:3 mit Tonic und Zitronenscheibe servieren; alternativ mit Prosecco oder Champagner als Spritz.",
csv-008-celery-bitters,Celery Bitters,The Bitter Truth,Bitters,Bitters,1 Flasche,Ungeöffnet,100%,,Bitter | Zitrisch,Modifier,Cocktail Bitters | Savory | Komplex,,Deutschland,"Würzig-vegetale Cocktail Bitters mit Sellerie, Zitronengras, Ingwer, Koriander und einer feinen herben Tiefe. Sie setzen in klaren Drinks, Martinis, Bloody Marys und Highballs einen eleganten, trockenen Savory-Akzent.",,Sellerie | Zitronengras | Ingwer | Koriander | Chicorée,Bloody Mary | Martini-Twists | Gin- und Vodka-Highballs,"Tropfenweise dosieren; besonders passend zu klaren Spirituosen, Tomate, Zitrus und trockenen Highballs.",
csv-009-creole-bitters,Creole Bitters,The Bitter Truth,Bitters,Bitters,1 Flasche,Ungeöffnet,100%,,Bitter | Fruchtig | Süß,Modifier,Cocktail Bitters | Creole | Würzig | Kräftig,,Deutschland,"Creole Bitters mit Cayenne, rosa Pfeffer, Anis, Zimt, Kümmel, Fenchel und dunkler Frucht. Sie geben klassischen Stirred Drinks eine würzige, warme und leicht fruchtige Tiefe.",,Cayenne | rosa Pfeffer | Anis | Zimt | getrocknete Früchte,Manhattan | Old Fashioned | Brandy Cocktail | Sazerac-Twists,"Sehr sparsam in kräftigen Cocktails einsetzen; besonders gut zu Whiskey, Brandy, Rum und aromatischen Vermouth-Drinks.",
csv-010-peach-bitters,Peach Bitters,The Bitter Truth,Bitters,Fruit Bitters,3 Flaschen,Unbekannt,100%,,Bitter | Fruchtig | Süß,Modifier,Cocktail Bitters | Fruchtig | Aromatisch,,Deutschland,"Fruchtige Cocktail Bitters mit Pfirsich- und Steinfruchtcharakter. Sie eignen sich als feiner Akzent für Sours, Spritzes, Champagner-Drinks und helle Spirituosen, wenn ein dezenter Fruchtbogen gewünscht ist.",,Pfirsich | Steinfrucht | Fruchtsüße | sanfte Bitterkeit,Sours | Spritzes | Champagner-Cocktails | helle Highballs,"Tropfenweise einsetzen; besonders passend zu Gin, Vodka, Rum, Schaumwein und frischen Zitrusdrinks.",
csv-011-old-town-decanter-bitters,Old Town Decanter Bitters,The Bitter Truth,Bitters,Bitters,1 Flasche,Ungeöffnet,100%,,Bitter | Fruchtig | Zitrisch,Modifier,Cocktail Bitters | Aromatisch | Würzig,,Deutschland,"Aromatische Bitters mit kräftiger Bitterkeit, Zitrus, getrockneten Früchten, Nelke, Zimt und dunkler Würze. Sie geben klassischen Drinks mehr Tiefe, Struktur und einen warmen Gewürzakzent.",,Zitrus | getrocknete Früchte | Nelke | Zimt | Angosturarinde,Old Fashioned | Manhattan | Rum Old Fashioned | dunkle Stirred Drinks,"Sehr sparsam dosieren; ideal für kräftige Spirituosen, dunkle Drinks und Gewürznoten.",
csv-012-old-time-aromatic-bitters,Old Time Aromatic Bitters,The Bitter Truth,Bitters,Bitters,1 Flasche,Ungeöffnet,100%,,Bitter | Kräuterig,Modifier,Cocktail Bitters | Aromatic | Klassisch,,Deutschland,"Klassische aromatische Bitters mit warmer Würze und trockener Bitterkeit. Sie sind ein universeller Bar-Akzent für Old Fashioned, Manhattan und viele klassische Cocktails.",,warme Gewürze | Kräuter | Bitterkeit | aromatische Tiefe,Old Fashioned | Manhattan | Cocktail-Klassiker,"Tropfenweise dosieren; als strukturierender Bitter-Akzent in klassischen Cocktails verwenden.",
csv-013-orange-bitters,Orange Bitters,The Bitter Truth,Bitters,Bitters,1 Flasche,Ungeöffnet,100%,,Bitter | Zitrisch | Fruchtig,Modifier,Cocktail Bitters | Zitrisch | Klassisch,,Deutschland,"Zitrische Bitters mit Orange, feiner Würze und trockener Bitterkeit. Sie hellen Martinis, Old Fashioneds, Gin-Drinks und spritzige Cocktails auf, ohne sie süßer zu machen.",,Orange | Zitrusschale | Gewürze | trockene Bitterkeit,Martini | Old Fashioned | Gin-Cocktails | Spritz-Akzent,"In kleinen Mengen verwenden; besonders passend zu Gin, Whiskey, Rum und Vermouth-Drinks.",
csv-014-angobitter,Angobitter,Angostura,Bitters,Aromatic Bitters,1 Flasche,Unbekannt,100%,,Bitter | Kräuterig,Modifier,Aromatic Bitters | Klassisch | Universal,,Trinidad und Tobago,"Klassische aromatische Bitters mit konzentrierter Kräuter- und Gewürzwürze. Angostura ist ein universeller Cocktail-Akzent und bringt Struktur in Old Fashioned, Manhattan, Sours, Tiki-Drinks und Highballs.",,Kräuter | Gewürze | Nelke | Zimt | bittere Tiefe,Old Fashioned | Manhattan | Sours | Tiki-Drinks,"Nur wenige Dashes verwenden; Angostura wirkt intensiv und strukturiert Drinks schon in kleiner Menge.",
csv-015-1866-brandy-de-jerez-solero-grand-reserv,1866 Brandy De Jerez Solero Grand Reserva,Sánchez Romate,Cognac / Brandy,Brandy,1 Flasche,Geöffnet,100%,,Fruchtig | Süß | Trocken,Pur | Digestif | Spirit-Forward | Cocktailbasis,Brandy,,,"Kuratierter Cognac-/Brandy-Eintrag für Digestif, pur und klassische Brandy-Cocktails.",,,,,
csv-016-cognac-vsop,Cognac VSOP,Prince Hubert de Polignac,Cognac / Brandy,Cognac,1 Flasche,Geöffnet,100%,,Fruchtig | Süß | Trocken,Pur | Digestif | Spirit-Forward | Cocktailbasis,Cognac | Brandy,,Frankreich,"Kuratierter Cognac-/Brandy-Eintrag für Digestif, pur und klassische Brandy-Cocktails.",,,,,
csv-017-kastaniengeist,Kastaniengeist,Willi Peter,Edelbrand / Geist,Geist,1 Flasche,Geöffnet,100%,,Nussig | Trocken,Digestif,Edelbrand / Geist,,,"Kastaniengeist ist als Edelbrand / Geist / Geist eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.",,,,,
csv-018-edles-fass-nussler-aus-wallnussen,Edles Fass Nussler aus Wallnüssen,Scheibel,Edelbrand / Geist,Geist,1 Flasche,Unbekannt,100%,,Nussig | Trocken,Digestif,Edelbrand / Geist | Nut Liqueur,,,"Edles Fass Nussler aus Wallnüssen ist als Edelbrand / Geist / Geist eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.",,,,,
csv-019-walnussgeist,Walnussgeist,Liebl,Edelbrand / Geist,Geist,1 Flasche,Unbekannt,100%,,Nussig | Trocken,Digestif,Edelbrand / Geist | Nut Liqueur,,,"Walnussgeist ist als Edelbrand / Geist / Geist eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.",,,,,
csv-020-pistaziengeist,Pistaziengeist,Nustler,Edelbrand / Geist,Geist,1 Flasche,Geöffnet,100%,,Nussig | Trocken,Digestif,Edelbrand / Geist | Nut Liqueur,,,"Pistaziengeist ist als Edelbrand / Geist / Geist eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.",,,,,
csv-021-haselnuss,Haselnuss,Prinz,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,100%,,Nussig | Trocken,Digestif,Edelbrand / Geist | Nut Liqueur,,,"Haselnuss ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Nussig, Trocken. Nutzung: Digestif.",,,,,
csv-022-hauszwetschke,Hauszwetschke,Prinz,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,100%,,Trocken,Digestif,Edelbrand / Geist,,,Hauszwetschke ist als Edelbrand / Geist / Prinz Alte Sorte eingeordnet. Geschmack: Trocken. Nutzung: Digestif.,,,,,
